"FIELD_NUMBER"	"PLOT"	"locus"	"allele"	"freq"
"07-0029"	"Random_05"	"Ob16_1"	130	0.5
"07-0029"	"Random_05"	"Ob16_1"	138	0.5
"07-0031"	"Random_05"	"Ob16_1"	128	0.5
"07-0031"	"Random_05"	"Ob16_1"	130	0.5
"07-0037"	"Random_05"	"Ob10_1"	148	0.5
"07-0037"	"Random_05"	"Ob10_1"	156	0.5
"07-0044"	"Random_06"	"Ob04_1"	137	0.5
"07-0044"	"Random_06"	"Ob04_1"	139	0.5
"07-0045"	"Random_06"	"Ob04_1"	137	0.5
"07-0045"	"Random_06"	"Ob04_1"	141	0.5
"07-0047"	"Random_06"	"Ob04_1"	137	0.5
"07-0047"	"Random_06"	"Ob04_1"	139	0.5
"07-0047"	"Random_06"	"Ob23_1"	225	0.5
"07-0047"	"Random_06"	"Ob23_1"	236	0.5
"07-0048"	"Random_06"	"Ob16_1"	130	0.5
"07-0048"	"Random_06"	"Ob16_1"	138	0.5
"07-0048"	"Random_06"	"Ob06_1"	191	0.5
"07-0048"	"Random_06"	"Ob06_1"	193	0.5
"07-0049"	"Random_06"	"Ob06_1"	185	0.5
"07-0049"	"Random_06"	"Ob06_1"	193	0.5
"07-0049"	"Random_06"	"Ob07_1"	173	0.5
"07-0049"	"Random_06"	"Ob07_1"	177	0.5
"07-0050"	"Random_06"	"Ob06_1"	185	0.5
"07-0050"	"Random_06"	"Ob06_1"	191	0.5
"07-0052"	"Random_06"	"Ob03_1"	94	0.5
"07-0052"	"Random_06"	"Ob03_1"	108	0.5
"07-0052"	"Random_06"	"Ob23_1"	225	0.5
"07-0052"	"Random_06"	"Ob23_1"	238	0.5
"07-0053"	"Random_06"	"Ob03_1"	94	0.5
"07-0053"	"Random_06"	"Ob03_1"	108	0.5
"07-0053"	"Random_06"	"Ob23_1"	225	0.5
"07-0053"	"Random_06"	"Ob23_1"	238	0.5
"07-0055"	"Random_07"	"Ob23_1"	225	0.5
"07-0055"	"Random_07"	"Ob23_1"	236	0.5
"07-0056"	"Random_07"	"Ob04_1"	137	0.5
"07-0056"	"Random_07"	"Ob04_1"	139	0.5
"07-0057"	"Random_07"	"Ob03_1"	94	0.5
"07-0057"	"Random_07"	"Ob03_1"	108	0.5
"07-0057"	"Random_07"	"Ob10_1"	148	0.5
"07-0057"	"Random_07"	"Ob10_1"	156	0.5
"07-0057"	"Random_07"	"Ob23_1"	225	0.5
"07-0057"	"Random_07"	"Ob23_1"	236	0.5
"07-0058"	"Random_07"	"Ob04_1"	137	0.5
"07-0058"	"Random_07"	"Ob04_1"	139	0.5
"07-0062"	"Random_07"	"Ob04_1"	129	0.5
"07-0062"	"Random_07"	"Ob04_1"	137	0.5
"07-0064"	"Random_07"	"Ob10_1"	148	0.5
"07-0064"	"Random_07"	"Ob10_1"	156	0.5
"07-0065"	"Random_07"	"Ob03_1"	100	0.5
"07-0065"	"Random_07"	"Ob03_1"	108	0.5
"07-0065"	"Random_07"	"Ob12_1"	231	0.5
"07-0065"	"Random_07"	"Ob12_1"	243	0.5
"07-0065"	"Random_07"	"Ob07_1"	177	0.5
"07-0065"	"Random_07"	"Ob07_1"	179	0.5
"07-0068"	"Random_07"	"Ob16_1"	130	0.5
"07-0068"	"Random_07"	"Ob16_1"	138	0.5
"07-0088"	"Random_08"	"Ob06_1"	191	0.5
"07-0088"	"Random_08"	"Ob06_1"	193	0.5
"07-0089"	"Random_08"	"Ob04_1"	137	0.5
"07-0089"	"Random_08"	"Ob04_1"	141	0.5
"07-0092"	"Random_08"	"Ob06_1"	191	0.5
"07-0092"	"Random_08"	"Ob06_1"	193	0.5
"07-0093"	"Random_08"	"Ob04_1"	137	0.5
"07-0093"	"Random_08"	"Ob04_1"	141	0.5
"07-0095"	"Random_08"	"Ob16_1"	130	0.5
"07-0095"	"Random_08"	"Ob16_1"	138	0.5
"07-0099"	"Random_08"	"Ob10_1"	148	0.5
"07-0099"	"Random_08"	"Ob10_1"	154	0.5
"07-0099"	"Random_08"	"Ob22_1"	167	0.5
"07-0099"	"Random_08"	"Ob22_1"	197	0.5
"07-0102"	"Random_08"	"Ob16_1"	130	0.5
"07-0102"	"Random_08"	"Ob16_1"	138	0.5
"07-0110"	"Random_20"	"Ob03_1"	100	0.5
"07-0110"	"Random_20"	"Ob03_1"	112	0.5
"07-0110"	"Random_20"	"Ob10_1"	148	0.5
"07-0110"	"Random_20"	"Ob10_1"	154	0.5
"07-0110"	"Random_20"	"Ob16_1"	130	0.5
"07-0110"	"Random_20"	"Ob16_1"	138	0.5
"07-0111"	"Random_20"	"Ob07_1"	173	0.5
"07-0111"	"Random_20"	"Ob07_1"	177	0.5
"07-0113"	"Random_20"	"Ob04_1"	137	0.5
"07-0113"	"Random_20"	"Ob04_1"	141	0.5
"07-0113"	"Random_20"	"Ob16_1"	130	0.5
"07-0113"	"Random_20"	"Ob16_1"	138	0.5
"07-0114"	"Random_20"	"Ob10_1"	154	0.5
"07-0114"	"Random_20"	"Ob10_1"	156	0.5
"07-0115"	"Random_20"	"Ob03_1"	94	0.5
"07-0115"	"Random_20"	"Ob03_1"	108	0.5
"07-0115"	"Random_20"	"Ob10_1"	154	0.5
"07-0115"	"Random_20"	"Ob10_1"	156	0.5
"07-0115"	"Random_20"	"Ob16_1"	128	0.5
"07-0115"	"Random_20"	"Ob16_1"	130	0.5
"07-0116"	"Random_20"	"Ob04_1"	137	0.5
"07-0116"	"Random_20"	"Ob04_1"	141	0.5
"07-0116"	"Random_20"	"Ob12_1"	231	0.5
"07-0116"	"Random_20"	"Ob12_1"	243	0.5
"07-0116"	"Random_20"	"Ob06_1"	185	0.5
"07-0116"	"Random_20"	"Ob06_1"	191	0.5
"07-0116"	"Random_20"	"Ob23_1"	225	0.5
"07-0116"	"Random_20"	"Ob23_1"	236	0.5
"07-0117"	"Random_20"	"Ob04_1"	137	0.5
"07-0117"	"Random_20"	"Ob04_1"	139	0.5
"07-0117"	"Random_20"	"Ob12_1"	231	0.5
"07-0117"	"Random_20"	"Ob12_1"	233	0.5
"07-0117"	"Random_20"	"Ob06_1"	191	0.5
"07-0117"	"Random_20"	"Ob06_1"	193	0.5
"07-0118"	"Random_20"	"Ob16_1"	128	0.5
"07-0118"	"Random_20"	"Ob16_1"	130	0.5
"07-0118"	"Random_20"	"Ob06_1"	185	0.5
"07-0118"	"Random_20"	"Ob06_1"	191	0.5
"07-0119"	"Random_20"	"Ob04_1"	137	0.5
"07-0119"	"Random_20"	"Ob04_1"	139	0.5
"07-0121"	"Random_20"	"Ob16_1"	130	0.5
"07-0121"	"Random_20"	"Ob16_1"	138	0.5
"07-0121"	"Random_20"	"Ob06_1"	191	0.5
"07-0121"	"Random_20"	"Ob06_1"	193	0.5
"07-0122"	"Random_21"	"Ob16_1"	128	0.5
"07-0122"	"Random_21"	"Ob16_1"	130	0.5
"07-0124"	"Random_21"	"Ob16_1"	128	0.5
"07-0124"	"Random_21"	"Ob16_1"	130	0.5
"07-0125"	"Random_21"	"Ob16_1"	128	0.5
"07-0125"	"Random_21"	"Ob16_1"	130	0.5
"07-0125"	"Random_21"	"Ob12_1"	231	0.5
"07-0125"	"Random_21"	"Ob12_1"	243	0.5
"07-0126"	"Random_21"	"Ob16_1"	130	0.5
"07-0126"	"Random_21"	"Ob16_1"	138	0.5
"07-0128"	"Random_21"	"Ob16_1"	130	0.5
"07-0128"	"Random_21"	"Ob16_1"	138	0.5
"07-0128"	"Random_21"	"Ob07_1"	173	0.5
"07-0128"	"Random_21"	"Ob07_1"	177	0.5
"07-0129"	"Random_21"	"Ob16_1"	128	0.5
"07-0129"	"Random_21"	"Ob16_1"	130	0.5
"07-0131"	"Random_21"	"Ob12_1"	231	0.5
"07-0131"	"Random_21"	"Ob12_1"	243	0.5
"07-0131"	"Random_21"	"Ob07_1"	173	0.5
"07-0131"	"Random_21"	"Ob07_1"	177	0.5
"07-0132"	"Random_21"	"Ob23_1"	225	0.5
"07-0132"	"Random_21"	"Ob23_1"	238	0.5
"07-0133"	"Random_21"	"Ob07_1"	173	0.5
"07-0133"	"Random_21"	"Ob07_1"	177	0.5
"07-0134"	"Random_21"	"Ob07_1"	171	0.5
"07-0134"	"Random_21"	"Ob07_1"	177	0.5
"07-0141"	"Random_22"	"Ob16_1"	128	0.5
"07-0141"	"Random_22"	"Ob16_1"	130	0.5
"07-0145"	"Random_22"	"Ob04_1"	137	0.5
"07-0145"	"Random_22"	"Ob04_1"	139	0.5
"07-0145"	"Random_22"	"Ob16_1"	128	0.5
"07-0145"	"Random_22"	"Ob16_1"	130	0.5
"07-0145"	"Random_22"	"Ob22_1"	199	0.5
"07-0145"	"Random_22"	"Ob22_1"	201	0.5
"07-0155"	"Random_22"	"Ob10_1"	148	0.5
"07-0155"	"Random_22"	"Ob10_1"	158	0.5
"07-0155"	"Random_22"	"Ob04_1"	137	0.5
"07-0155"	"Random_22"	"Ob04_1"	139	0.5
"07-0159"	"Random_22"	"Ob03_1"	100	0.5
"07-0159"	"Random_22"	"Ob03_1"	108	0.5
"07-0159"	"Random_22"	"Ob04_1"	139	0.5
"07-0159"	"Random_22"	"Ob04_1"	141	0.5
"07-0160"	"Random_22"	"Ob03_1"	98	0.5
"07-0160"	"Random_22"	"Ob03_1"	108	0.5
"07-0166"	"Random_23"	"Ob10_1"	148	0.5
"07-0166"	"Random_23"	"Ob10_1"	156	0.5
"07-0166"	"Random_23"	"Ob16_1"	128	0.5
"07-0166"	"Random_23"	"Ob16_1"	130	0.5
"07-0166"	"Random_23"	"Ob23_1"	225	0.5
"07-0166"	"Random_23"	"Ob23_1"	238	0.5
"07-0168"	"Random_23"	"Ob10_1"	148	0.5
"07-0168"	"Random_23"	"Ob10_1"	156	0.5
"07-0168"	"Random_23"	"Ob06_1"	185	0.5
"07-0168"	"Random_23"	"Ob06_1"	195	0.5
"07-0168"	"Random_23"	"Ob23_1"	225	0.5
"07-0168"	"Random_23"	"Ob23_1"	238	0.5
"07-0169"	"Random_23"	"Ob16_1"	128	0.5
"07-0169"	"Random_23"	"Ob16_1"	130	0.5
"07-0172"	"Random_23"	"Ob10_1"	148	0.5
"07-0172"	"Random_23"	"Ob10_1"	154	0.5
"07-0174"	"Random_23"	"Ob07_1"	165	0.5
"07-0174"	"Random_23"	"Ob07_1"	171	0.5
"07-0186"	"Random_25"	"Ob04_1"	137	0.5
"07-0186"	"Random_25"	"Ob04_1"	141	0.5
"07-0188"	"Random_25"	"Ob03_1"	108	0.5
"07-0188"	"Random_25"	"Ob03_1"	110	0.5
"07-0188"	"Random_25"	"Ob04_1"	137	0.5
"07-0188"	"Random_25"	"Ob04_1"	141	0.5
"07-0192"	"Random_25"	"Ob06_1"	191	0.5
"07-0192"	"Random_25"	"Ob06_1"	193	0.5
"07-0195"	"Random_25"	"Ob03_1"	108	0.5
"07-0195"	"Random_25"	"Ob03_1"	110	0.5
"07-0195"	"Random_25"	"Ob10_1"	148	0.5
"07-0195"	"Random_25"	"Ob10_1"	154	0.5
"07-0219"	"Random_27"	"Ob03_1"	98	0.5
"07-0219"	"Random_27"	"Ob03_1"	106	0.5
"07-0227"	"Random_27"	"Ob03_1"	94	0.5
"07-0227"	"Random_27"	"Ob03_1"	108	0.5
"07-0227"	"Random_27"	"Ob16_1"	130	0.5
"07-0227"	"Random_27"	"Ob16_1"	138	0.5
"07-0230"	"Random_27"	"Ob16_1"	128	0.5
"07-0230"	"Random_27"	"Ob16_1"	130	0.5
"07-0240"	"Random_27"	"Ob23_1"	225	0.5
"07-0240"	"Random_27"	"Ob23_1"	236	0.5
"07-0244"	"Random_28"	"Ob03_1"	104	0.5
"07-0244"	"Random_28"	"Ob03_1"	108	0.5
"07-0247"	"Random_28"	"Ob10_1"	152	0.5
"07-0247"	"Random_28"	"Ob10_1"	158	0.5
"07-0253"	"Random_28"	"Ob16_1"	130	0.5
"07-0253"	"Random_28"	"Ob16_1"	138	0.5
"07-0255"	"Random_28"	"Ob16_1"	130	0.5
"07-0255"	"Random_28"	"Ob16_1"	138	0.5
"07-0261"	"Random_28"	"Ob12_1"	231	0.5
"07-0261"	"Random_28"	"Ob12_1"	243	0.5
"07-0263"	"Random_28"	"Ob16_1"	130	0.5
"07-0263"	"Random_28"	"Ob16_1"	138	0.5
"07-0269"	"Random_29"	"Ob03_1"	100	0.5
"07-0269"	"Random_29"	"Ob03_1"	108	0.5
"07-0272"	"Random_29"	"Ob16_1"	130	0.5
"07-0272"	"Random_29"	"Ob16_1"	138	0.5
"07-0272"	"Random_29"	"Ob06_1"	191	0.5
"07-0272"	"Random_29"	"Ob06_1"	193	0.5
"07-0273"	"Random_29"	"Ob10_1"	148	0.5
"07-0273"	"Random_29"	"Ob10_1"	154	0.5
"07-0273"	"Random_29"	"Ob12_1"	231	0.5
"07-0273"	"Random_29"	"Ob12_1"	235	0.5
"07-0273"	"Random_29"	"Ob06_1"	191	0.5
"07-0273"	"Random_29"	"Ob06_1"	193	0.5
"07-0277"	"Random_29"	"Ob16_1"	130	0.5
"07-0277"	"Random_29"	"Ob16_1"	138	0.5
"07-0280"	"Random_29"	"Ob07_1"	171	0.5
"07-0280"	"Random_29"	"Ob07_1"	173	0.5
"07-0292"	"Random_30"	"Ob22_1"	199	0.5
"07-0292"	"Random_30"	"Ob22_1"	201	0.5
"07-0293"	"Random_30"	"Ob22_1"	199	0.5
"07-0293"	"Random_30"	"Ob22_1"	201	0.5
"07-0299"	"Random_30"	"Ob16_1"	128	0.5
"07-0299"	"Random_30"	"Ob16_1"	130	0.5
"07-0299"	"Random_30"	"Ob12_1"	227	0.5
"07-0299"	"Random_30"	"Ob12_1"	231	0.5
"07-0301"	"Random_30"	"Ob07_1"	171	0.5
"07-0301"	"Random_30"	"Ob07_1"	181	0.5
"07-0303"	"Random_30"	"Ob12_1"	227	0.5
"07-0303"	"Random_30"	"Ob12_1"	231	0.5
"07-0304"	"Random_30"	"Ob10_1"	148	0.5
"07-0304"	"Random_30"	"Ob10_1"	154	0.5
"07-0304"	"Random_30"	"Ob16_1"	128	0.5
"07-0304"	"Random_30"	"Ob16_1"	130	0.5
"07-0310"	"Random_31"	"Ob03_1"	100	0.5
"07-0310"	"Random_31"	"Ob03_1"	108	0.5
"07-0310"	"Random_31"	"Ob16_1"	128	0.5
"07-0310"	"Random_31"	"Ob16_1"	130	0.5
"07-0313"	"Random_31"	"Ob16_1"	128	0.5
"07-0313"	"Random_31"	"Ob16_1"	130	0.5
"07-0319"	"Random_31"	"Ob10_1"	148	0.5
"07-0319"	"Random_31"	"Ob10_1"	152	0.5
"07-0322"	"Random_31"	"Ob04_1"	137	0.5
"07-0322"	"Random_31"	"Ob04_1"	141	0.5
"07-0322"	"Random_31"	"Ob06_1"	191	0.5
"07-0322"	"Random_31"	"Ob06_1"	193	0.5
"07-0323"	"Random_31"	"Ob03_1"	106	0.5
"07-0323"	"Random_31"	"Ob03_1"	108	0.5
"07-0331"	"Random_32"	"Ob10_1"	154	0.5
"07-0331"	"Random_32"	"Ob10_1"	156	0.5
"07-0335"	"Random_32"	"Ob10_1"	152	0.5
"07-0335"	"Random_32"	"Ob10_1"	158	0.5
"07-0336"	"Random_32"	"Ob04_1"	137	0.5
"07-0336"	"Random_32"	"Ob04_1"	139	0.5
"07-0340"	"Random_32"	"Ob04_1"	137	0.5
"07-0340"	"Random_32"	"Ob04_1"	139	0.5
"07-0340"	"Random_32"	"Ob07_1"	171	0.5
"07-0340"	"Random_32"	"Ob07_1"	181	0.5
"07-0341"	"Random_32"	"Ob06_1"	191	0.5
"07-0341"	"Random_32"	"Ob06_1"	193	0.5
"07-0343"	"Random_32"	"Ob03_1"	108	0.5
"07-0343"	"Random_32"	"Ob03_1"	110	0.5
"07-0343"	"Random_32"	"Ob06_1"	191	0.5
"07-0343"	"Random_32"	"Ob06_1"	193	0.5
"07-0348"	"Random_32"	"Ob16_1"	130	0.5
"07-0348"	"Random_32"	"Ob16_1"	138	0.5
